case,iteration,latency_ms
First True,1,79.99181747436523
First True,2,53.030967712402344
First True,3,51.017045974731445
First True,4,55.21798133850098
First True,5,56.91695213317871
First True,6,54.65221405029297
First True,7,50.453901290893555
First True,8,54.08120155334473
First True,9,58.12191963195801
First True,10,54.97121810913086
First True,11,51.812171936035156
First True,12,54.69489097595215
First True,13,53.23314666748047
First True,14,59.39507484436035
First True,15,61.98596954345703
First True,16,56.20312690734863
First True,17,56.77080154418945
First True,18,55.15313148498535
First True,19,53.67112159729004
First True,20,59.41295623779297
First True,21,60.0581169128418
First True,22,56.9002628326416
First True,23,57.39116668701172
First True,24,58.007001876831055
First True,25,59.53717231750488
First True,26,55.29284477233887
First True,27,53.03597450256348
First True,28,57.292938232421875
First True,29,57.9829216003418
First True,30,55.37700653076172
First True,31,59.113264083862305
First True,32,75.93679428100586
First True,33,61.475276947021484
First True,34,61.19513511657715
First True,35,54.85081672668457
First True,36,60.06002426147461
First True,37,73.394775390625
First True,38,55.22894859313965
First True,39,59.63015556335449
First True,40,56.61296844482422
First True,41,72.00098037719727
First True,42,55.65810203552246
First True,43,64.39495086669922
First True,44,58.3188533782959
First True,45,56.88929557800293
First True,46,68.01700592041016
First True,47,62.88886070251465
First True,48,62.04628944396973
First True,49,64.72086906433105
First True,50,55.18007278442383
First True,51,57.06286430358887
First True,52,58.26091766357422
First True,53,60.6842041015625
First True,54,55.56178092956543
First True,55,58.62307548522949
First True,56,52.041053771972656
First True,57,55.052995681762695
First True,58,55.00483512878418
First True,59,59.00287628173828
First True,60,55.3278923034668
First True,61,53.910017013549805
First True,62,60.24003028869629
First True,63,60.9133243560791
First True,64,59.5703125
First True,65,54.534912109375
First True,66,58.99477005004883
First True,67,57.955265045166016
First True,68,53.150177001953125
First True,69,57.9679012298584
First True,70,55.9079647064209
First True,71,68.12882423400879
First True,72,51.99885368347168
First True,73,57.33990669250488
First True,74,54.84294891357422
First True,75,52.160024642944336
First True,76,58.795928955078125
First True,77,54.772138595581055
First True,78,52.39701271057129
First True,79,63.63391876220703
First True,80,54.51679229736328
First True,81,56.26988410949707
First True,82,58.297157287597656
First True,83,59.823036193847656
First True,84,55.123090744018555
First True,85,57.49821662902832
First True,86,64.544677734375
First True,87,52.876949310302734
First True,88,60.28127670288086
First True,89,60.99987030029297
First True,90,59.8452091217041
First True,91,57.32393264770508
First True,92,53.82680892944336
First True,93,56.15878105163574
First True,94,59.37981605529785
First True,95,53.14779281616211
First True,96,58.487892150878906
First True,97,59.00406837463379
First True,98,57.64198303222656
First True,99,53.581953048706055
First True,100,58.135986328125
Second True,1,58.52222442626953
Second True,2,56.39028549194336
Second True,3,53.597211837768555
Second True,4,56.0610294342041
Second True,5,57.374000549316406
Second True,6,54.49080467224121
Second True,7,58.8529109954834
Second True,8,58.86507034301758
Second True,9,51.857948303222656
Second True,10,55.98282814025879
Second True,11,56.41984939575195
Second True,12,57.881832122802734
Second True,13,52.021026611328125
Second True,14,57.18517303466797
Second True,15,57.82723426818848
Second True,16,57.26289749145508
Second True,17,55.071115493774414
Second True,18,58.981895446777344
Second True,19,60.23812294006348
Second True,20,58.82906913757324
Second True,21,54.01611328125
Second True,22,60.22286415100098
Second True,23,54.984092712402344
Second True,24,57.071685791015625
Second True,25,54.55207824707031
Second True,26,58.0449104309082
Second True,27,55.3128719329834
Second True,28,57.80386924743652
Second True,29,55.18794059753418
Second True,30,54.100990295410156
Second True,31,52.156925201416016
Second True,32,57.93285369873047
Second True,33,58.14409255981445
Second True,34,59.857845306396484
Second True,35,54.300785064697266
Second True,36,58.17914009094238
Second True,37,54.95119094848633
Second True,38,58.93707275390625
Second True,39,54.96716499328613
Second True,40,60.02211570739746
Second True,41,53.99775505065918
Second True,42,59.39078330993652
Second True,43,55.81998825073242
Second True,44,56.25319480895996
Second True,45,56.84185028076172
Second True,46,55.3898811340332
Second True,47,59.0059757232666
Second True,48,55.052757263183594
Second True,49,55.78923225402832
Second True,50,58.89582633972168
Second True,51,56.02884292602539
Second True,52,54.04090881347656
Second True,53,59.3109130859375
Second True,54,60.0278377532959
Second True,55,57.04092979431152
Second True,56,51.98407173156738
Second True,57,55.02891540527344
Second True,58,111.99831962585449
Second True,59,54.23092842102051
Second True,60,58.99405479431152
Second True,61,57.06024169921875
Second True,62,54.88324165344238
Second True,63,60.10007858276367
Second True,64,52.78801918029785
Second True,65,56.025028228759766
Second True,66,57.12389945983887
Second True,67,58.3491325378418
Second True,68,58.11882019042969
Second True,69,58.92300605773926
Second True,70,58.236122131347656
Second True,71,54.91781234741211
Second True,72,55.995941162109375
Second True,73,56.12587928771973
Second True,74,60.363054275512695
Second True,75,52.63209342956543
Second True,76,50.01187324523926
Second True,77,57.07287788391113
Second True,78,52.027225494384766
Second True,79,57.20400810241699
Second True,80,54.496049880981445
Second True,81,58.484792709350586
Second True,82,58.0899715423584
Second True,83,58.051109313964844
Second True,84,59.079885482788086
Second True,85,53.92718315124512
Second True,86,59.10515785217285
Second True,87,56.22673034667969
Second True,88,54.91900444030762
Second True,89,59.07702445983887
Second True,90,60.0130558013916
Second True,91,61.42401695251465
Second True,92,54.6269416809082
Second True,93,58.039188385009766
Second True,94,55.26900291442871
Second True,95,59.66901779174805
Second True,96,59.465885162353516
Second True,97,140.3830051422119
Second True,98,214.8149013519287
Second True,99,165.53664207458496
Second True,100,59.78107452392578
First Fake,1,55.41682243347168
First Fake,2,59.06510353088379
First Fake,3,49.94487762451172
First Fake,4,55.44090270996094
First Fake,5,59.23318862915039
First Fake,6,59.31496620178223
First Fake,7,58.43997001647949
First Fake,8,51.96809768676758
First Fake,9,56.2748908996582
First Fake,10,57.44504928588867
First Fake,11,53.75814437866211
First Fake,12,52.08611488342285
First Fake,13,55.1910400390625
First Fake,14,57.26313591003418
First Fake,15,54.52084541320801
First Fake,16,55.731773376464844
First Fake,17,57.470083236694336
First Fake,18,55.4659366607666
First Fake,19,52.11067199707031
First Fake,20,50.939083099365234
First Fake,21,50.553083419799805
First Fake,22,56.97894096374512
First Fake,23,56.90503120422363
First Fake,24,52.33502388000488
First Fake,25,50.63199996948242
First Fake,26,52.39415168762207
First Fake,27,57.91115760803223
First Fake,28,58.61401557922363
First Fake,29,53.35807800292969
First Fake,30,51.16915702819824
First Fake,31,55.11188507080078
First Fake,32,58.14099311828613
First Fake,33,58.234214782714844
First Fake,34,56.46681785583496
First Fake,35,56.75005912780762
First Fake,36,60.99104881286621
First Fake,37,54.975032806396484
First Fake,38,55.05776405334473
First Fake,39,58.16292762756348
First Fake,40,60.14609336853027
First Fake,41,52.15907096862793
First Fake,42,52.857160568237305
First Fake,43,53.76601219177246
First Fake,44,55.2518367767334
First Fake,45,53.05790901184082
First Fake,46,54.548025131225586
First Fake,47,55.91297149658203
First Fake,48,50.8570671081543
First Fake,49,53.320884704589844
First Fake,50,57.28483200073242
First Fake,51,53.98988723754883
First Fake,52,57.0521354675293
First Fake,53,58.50815773010254
First Fake,54,57.79886245727539
First Fake,55,54.087162017822266
First Fake,56,56.17523193359375
First Fake,57,55.91130256652832
First Fake,58,51.095008850097656
First Fake,59,62.064170837402344
First Fake,60,54.46600914001465
First Fake,61,55.87029457092285
First Fake,62,54.486989974975586
First Fake,63,56.14900588989258
First Fake,64,57.231903076171875
First Fake,65,55.30810356140137
First Fake,66,53.356170654296875
First Fake,67,59.239864349365234
First Fake,68,59.24868583679199
First Fake,69,55.79972267150879
First Fake,70,52.056074142456055
First Fake,71,51.23305320739746
First Fake,72,58.85791778564453
First Fake,73,52.42300033569336
First Fake,74,54.879188537597656
First Fake,75,55.1600456237793
First Fake,76,60.96506118774414
First Fake,77,57.11793899536133
First Fake,78,52.976131439208984
First Fake,79,59.08203125
First Fake,80,58.937788009643555
First Fake,81,53.11012268066406
First Fake,82,53.330183029174805
First Fake,83,60.899972915649414
First Fake,84,56.07795715332031
First Fake,85,55.90009689331055
First Fake,86,59.05795097351074
First Fake,87,58.10904502868652
First Fake,88,57.19900131225586
First Fake,89,56.04672431945801
First Fake,90,56.096792221069336
First Fake,91,55.72199821472168
First Fake,92,53.330183029174805
First Fake,93,57.86013603210449
First Fake,94,60.30106544494629
First Fake,95,56.09917640686035
First Fake,96,55.9389591217041
First Fake,97,54.91995811462402
First Fake,98,57.984113693237305
First Fake,99,53.015947341918945
First Fake,100,58.05802345275879
Second Fake,1,55.85479736328125
Second Fake,2,58.13002586364746
Second Fake,3,58.05397033691406
Second Fake,4,56.91099166870117
Second Fake,5,57.95478820800781
Second Fake,6,58.98404121398926
Second Fake,7,52.92487144470215
Second Fake,8,52.08778381347656
Second Fake,9,53.60579490661621
Second Fake,10,51.962852478027344
Second Fake,11,54.26311492919922
Second Fake,12,59.95607376098633
Second Fake,13,56.77294731140137
Second Fake,14,59.426069259643555
Second Fake,15,60.93621253967285
Second Fake,16,53.91216278076172
Second Fake,17,55.22513389587402
Second Fake,18,61.003923416137695
Second Fake,19,58.99214744567871
Second Fake,20,56.83588981628418
Second Fake,21,57.3880672454834
Second Fake,22,58.038949966430664
Second Fake,23,54.81910705566406
Second Fake,24,55.92513084411621
Second Fake,25,54.16393280029297
Second Fake,26,57.395219802856445
Second Fake,27,60.29987335205078
Second Fake,28,52.49786376953125
Second Fake,29,58.1660270690918
Second Fake,30,54.69965934753418
Second Fake,31,57.563066482543945
Second Fake,32,55.64379692077637
Second Fake,33,59.08989906311035
Second Fake,34,58.72678756713867
Second Fake,35,53.31110954284668
Second Fake,36,50.55809020996094
Second Fake,37,60.09030342102051
Second Fake,38,56.13088607788086
Second Fake,39,53.52067947387695
Second Fake,40,56.874990463256836
Second Fake,41,51.83267593383789
Second Fake,42,52.221059799194336
Second Fake,43,52.065134048461914
Second Fake,44,50.05598068237305
Second Fake,45,54.00896072387695
Second Fake,46,58.58302116394043
Second Fake,47,59.287071228027344
Second Fake,48,58.55989456176758
Second Fake,49,59.19694900512695
Second Fake,50,55.92966079711914
Second Fake,51,59.24582481384277
Second Fake,52,146.03805541992188
Second Fake,53,143.1889533996582
Second Fake,54,60.91594696044922
Second Fake,55,53.878068923950195
Second Fake,56,58.11882019042969
Second Fake,57,61.380863189697266
Second Fake,58,57.60598182678223
Second Fake,59,60.10699272155762
Second Fake,60,54.308176040649414
Second Fake,61,58.77280235290527
Second Fake,62,57.01613426208496
Second Fake,63,58.02202224731445
Second Fake,64,60.07575988769531
Second Fake,65,55.8929443359375
Second Fake,66,55.954933166503906
Second Fake,67,57.47723579406738
Second Fake,68,53.08699607849121
Second Fake,69,61.09189987182617
Second Fake,70,53.835153579711914
Second Fake,71,59.39793586730957
Second Fake,72,58.77208709716797
Second Fake,73,53.009033203125
Second Fake,74,62.08992004394531
Second Fake,75,60.17613410949707
Second Fake,76,54.07595634460449
Second Fake,77,57.97910690307617
Second Fake,78,59.04412269592285
Second Fake,79,58.00890922546387
Second Fake,80,55.27782440185547
Second Fake,81,59.868812561035156
Second Fake,82,57.572126388549805
Second Fake,83,56.416988372802734
Second Fake,84,55.15718460083008
Second Fake,85,59.27610397338867
Second Fake,86,55.86504936218262
Second Fake,87,58.12406539916992
Second Fake,88,56.10299110412598
Second Fake,89,58.88009071350098
Second Fake,90,54.77619171142578
Second Fake,91,60.99200248718262
Second Fake,92,52.281856536865234
Second Fake,93,53.84993553161621
Second Fake,94,60.29200553894043
Second Fake,95,56.03384971618652
Second Fake,96,59.21792984008789
Second Fake,97,51.44906044006348
Second Fake,98,62.14404106140137
Second Fake,99,52.92105674743652
Second Fake,100,55.41205406188965
